date,daily_polarity,cumulated_polarity
2011-03-29,0.0,0.0
2011-03-30,-0.06319444444444444,-0.06319444444444444
2011-03-31,-0.019444444444444448,-0.07422631172032397
2011-04-01,0.03666666666666666,-0.027678482543650088
2011-04-03,0.07,0.04600613518428856
2011-04-04,0.16518518518518518,0.20506688702936415
2011-04-05,-0.14134199134199132,0.03642596099433164
2011-04-06,0.026666666666666665,0.058243527229814934
2011-04-07,0.03047619047619048,0.08096621703521495
2011-04-08,0.09428571428571429,0.16447353845991883
2011-04-10,0.16,0.30257847558461515
2011-04-11,-0.11763347763347762,0.14466511579092517
2011-04-12,0.05714285714285715,0.1825498488868112
2011-04-13,-0.025,0.1332484296027119
2011-04-14,-0.04007575757575757,0.07543436122325128
2011-04-15,-0.04,0.025392380626208612
2011-04-17,-0.17999999999999997,-0.1579879064130951
2011-04-18,-0.06006944444444445,-0.19702566894175655
2011-04-19,0.08152777777777777,-0.08926942031132674
2011-04-20,0.03848484848484848,-0.03890083910655068
2011-04-21,0.05969576719576719,0.025973489492560814
2011-04-22,0.2,0.22251584402049454
2011-04-24,0.1,0.29289406752562536
2011-04-25,0.0014814814814814725,0.25538487558738343
2011-04-26,0.021251526251526247,0.24263903082867866
2011-04-27,0.03857323232323232,0.24891164576541688
2011-04-28,-0.09079861111111112,0.12497739359337463
2011-04-29,-0.01851851851851852,0.08982162195595786
2011-05-01,-0.2333333333333333,-0.15546895433999783
2011-05-02,0.0018518518518518452,-0.13292074876276228
2011-05-03,0.03645833333333333,-0.0787677261873516
2011-05-04,-0.07777777777777779,-0.14605977882316654
2011-05-05,-0.034188034188034185,-0.16080402849223688
2011-05-06,-0.12878787878787878,-0.2681853372785974
2011-05-08,-0.03703703703703703,-0.26952097896090166
2011-05-09,-0.018731060606060605,-0.25237284078629996
2011-05-10,-0.009523809523809521,-0.2283002476986242
2011-05-11,-0.12956349206349205,-0.32747193130092167
2011-05-12,-0.11666666666666667,-0.4005448466999453
2011-05-13,-0.008333333333333331,-0.3555568087963404
2011-05-15,-0.16555555555555554,-0.47377989520680397
2011-05-16,-0.06996438746438746,-0.4806737079651229
2011-05-17,-0.12060185185185185,-0.5372872662777897
2011-05-18,-0.10777777777777776,-0.5735402347311848
2011-05-19,-0.08886904761904761,-0.5860584017250432
2011-05-20,-0.38611111111111107,-0.8941521875294647
2011-05-22,-0.11666666666666665,-0.8917874370492396
2011-05-23,-0.12487179487179485,-0.8979426153246369
2011-05-24,-0.11987179487179486,-0.8982784033406015
2011-05-25,-0.04969907407407406,-0.8283967697529212
2011-05-26,-0.05119047619047618,-0.7693093281137232
2011-05-27,-0.17916666666666667,-0.8460639212801144
2011-05-29,-0.1475,-0.8809341151337087
2011-05-30,-0.12457175925925927,-0.8882340748046533
2011-05-31,-0.046547619047619046,-0.8165381083008226
2011-06-01,-0.11624999999999999,-0.8240888403898033
2011-06-02,-0.2753760393046107,-0.9897604424692861
2011-06-03,-0.17222222222222225,-1.0302236758458074
2011-06-05,-0.2056972789115646,-1.09877541530169
2011-06-06,-0.050535714285714274,-1.0030398385995771
2011-06-07,-0.08733333333333333,-0.9568464019842958
2011-06-08,-0.20555555555555555,-1.03502455489122
2011-06-09,-0.21124999999999997,-1.108489912333967
2011-06-10,-0.03772727272727273,-0.9986526798256052
2011-06-12,-0.08333333333333333,-0.9490432710004445
2011-06-13,-0.016813186813186807,-0.8395178243500947
2011-06-14,-0.08738095238095236,-0.8151404007564043
2011-06-15,-0.22049019607843134,-0.9271173946876642
2011-06-16,-0.13662280701754384,-0.9403203869462466
2011-06-17,-0.12645502645502643,-0.9415979885832666
2011-06-19,-0.05462962962962962,-0.8708801163816874
2011-06-20,-0.032900432900432895,-0.7878471591235838
2011-06-21,-0.18577777777777776,-0.8687450684029773
2011-06-22,-0.26315873015873015,-1.0162546304742308
2011-06-23,-0.19259259259259262,-1.0735612722694912
2011-06-24,-0.14259259259259258,-1.0732391335507019
2011-06-26,-0.15312499999999998,-1.083492286022137
2011-06-27,-0.010590277777777777,-0.949845795080171
2011-06-28,-0.06192307692307692,-0.885323404848717
2011-06-29,-0.10944444444444443,-0.8769117382393798
2011-06-30,-0.1305937526525762,-0.8907691585638108
2011-07-01,-0.095,-0.867188097338033
2011-07-03,-0.1625,-0.91424619650875
2011-07-04,-0.07916666666666668,-0.8717064893507639
2011-07-05,0.008194444444444449,-0.7474686462425498
2011-07-06,-0.14552083333333332,-0.7934848835171864
2011-07-07,-0.10385185185185183,-0.7917063611587478
2011-07-08,-0.38958333333333334,-1.0758960809134877
2011-07-10,-0.1408333333333333,-1.0735038683050686
2011-07-11,-0.048899470899470894,-0.9794962496294645
2011-07-12,-0.20455882352941174,-1.0536624752213815
2011-07-13,-0.10666666666666666,-1.0200633802321557
2011-07-14,-0.11687165775401068,-1.0011420584217328
2011-07-15,0.014285714285714282,-0.853582210670491
2011-07-17,-0.10999999999999999,-0.8499515540501522
2011-07-18,-0.06018939393939393,-0.796993612003793
2011-07-19,-0.09750700280112043,-0.7884031512892796
2011-07-20,-0.27738095238095234,-0.9608302203270276
2011-07-21,-0.10965277777777777,-0.9425752611913758
2011-07-22,-0.32999999999999996,-1.1470976627780585
2011-07-24,-0.088,-1.0823936127173857
2011-07-25,-0.02774104683195592,-0.9660441485274146
2011-07-26,-0.19999999999999998,-1.037442322541398
2011-07-27,-0.155,-1.0543358216766374
2011-07-28,-0.061987179487179474,-0.9759676022136049
2011-07-29,-0.3975925925925926,-1.243637337823743
2011-07-31,-0.21666666666666665,-1.29474839013022
