date,normalized_polarity,normalized_price
2011-03-29,0.8207353886453701,0.8962155963302751
2011-03-30,0.7890642176039673,0.8900229357798164
2011-03-31,0.7835353747053231,0.9174311926605503
2011-04-01,0.8068637585912904,0.9330275229357798
2011-04-04,0.9235087971487814,0.9397935779816513
2011-04-05,0.8389909940413973,0.936123853211009
2011-04-06,0.849925307619525,0.9425458715596329
2011-04-07,0.8613132421393107,0.9590596330275227
2011-04-08,0.9031646213752857,0.9871559633027522
2011-04-11,0.8932372306382468,0.9553899082568806
2011-04-12,0.9122239291097005,0.9123853211009174
2011-04-13,0.8875155279763808,0.9221330275229356
2011-04-14,0.8585408409711811,0.935091743119266
2011-04-15,0.8334612925920066,0.9516055045871559
2011-04-18,0.7219919988512415,0.9232798165137615
2011-04-19,0.7759962172782982,0.9287844036697248
2011-04-20,0.8012394481425501,0.9707568807339448
2011-04-21,0.8337525270266426,0.980848623853211
2011-04-25,0.9487266724871962,0.9803899082568808
2011-04-26,0.9423388351864824,0.980848623853211
2011-04-27,0.9454824827378576,0.9876146788990825
2011-04-28,0.8833703313781005,0.9884174311926603
2011-04-29,0.8657513070095904,1.0
2011-05-02,0.7541194731796101,0.9958715596330274
2011-05-03,0.7812593532034396,0.9680045871559633
2011-05-04,0.7475345831308176,0.9472477064220184
2011-05-05,0.7401452048832282,0.8451834862385321
2011-05-06,0.6863288951249817,0.8105504587155963
2011-05-09,0.6942536468243088,0.8501146788990825
2011-05-10,0.7063181126138627,0.8853211009174311
2011-05-11,0.6566162221795943,0.8221330275229357
2011-05-12,0.6199942560804858,0.8295871559633028
2011-05-13,0.6425409190947445,0.8373853211009172
2011-05-16,0.5798360603277992,0.8110091743119265
2011-05-17,0.551463033167806,0.8051605504587156
2011-05-18,0.5332941264745057,0.8409403669724771
2011-05-19,0.527020394479981,0.823394495412844
2011-05-20,0.3726129766636356,0.8366972477064221
2011-05-23,0.37071332728660017,0.8127293577981651
2011-05-24,0.37054504034649394,0.8364678899082567
2011-05-25,0.40556763116859956,0.8553899082568808
2011-05-26,0.4351804948784642,0.8485091743119266
2011-05-27,0.39671338167323417,0.8530963302752292
2011-05-31,0.41151083865263216,0.877408256880734
2011-06-01,0.40772663689913546,0.8498853211009174
2011-06-02,0.32469697041040985,0.8511467889908255
2011-06-03,0.3044180044914576,0.8496559633027523
2011-06-06,0.31804173307323014,0.8357798165137613
2011-06-07,0.34119250597572676,0.8370412844036699
2011-06-08,0.3020119470803505,0.8552752293577981
2011-06-09,0.2651933007318963,0.8688073394495412
2011-06-10,0.32024044622179504,0.8384174311926604
2011-06-13,0.3999940902441675,0.814334862385321
2011-06-14,0.41221132799302107,0.8392201834862385
2011-06-15,0.3560917978875415,0.7871559633027523
2011-06-16,0.3494748518924312,0.7885321100917431
2011-06-17,0.34883455605116614,0.7663990825688072
2011-06-20,0.4258898867908172,0.7688073394495414
2011-06-21,0.3853462671070967,0.7741972477064221
2011-06-22,0.31141887346242003,0.7886467889908255
2011-06-23,0.28269849352931253,0.7397935779816514
2011-06-24,0.2828599398487085,0.7419724770642202
2011-06-27,0.34470100139179266,0.7392201834862386
2011-06-28,0.37703769926112835,0.7650229357798166
2011-06-29,0.3812533757223998,0.7873853211009174
2011-06-30,0.3743084498963093,0.792545871559633
2011-07-01,0.3861265745745943,0.7869266055045872
2011-07-05,0.4461263933238711,0.8111238532110092
2011-07-06,0.4230644274466648,0.808256880733945
2011-07-07,0.4239557698156065,0.8315366972477065
2011-07-08,0.2815283570629976,0.8028669724770643
2011-07-11,0.3298410777744316,0.790940366972477
2011-07-12,0.2926711772101205,0.816743119266055
2011-07-13,0.30951004166403007,0.823967889908257
2011-07-14,0.31899284390488447,0.7977064220183485
2011-07-15,0.39294543923280795,0.8147935779816513
2011-07-18,0.4213059573625602,0.7998853211009174
2011-07-19,0.4256112400975479,0.8176605504587156
2011-07-20,0.3391959350233315,0.8247706422018348
2011-07-21,0.3483447761631142,0.8345183486238532
