time,descriptions,h,mae,rmse,mape
2021-11-17T16:45:49,FastText SVR,0,37.17425339830286,37.17425339830286,0.7583487025357579
2021-11-17T16:45:49,FastText SVR,1,37.188296081293025,37.188296081293025,0.7586351709770097
2021-11-17T16:45:49,FastText SVR,2,36.27633983333925,36.40644872808749,0.7400314123488217
2021-11-17T16:45:49,FastText SVR,3,36.33134031265897,36.46508128622662,0.7430328532097266
2021-11-17T16:45:49,FastText Ridge,0,28.886894302368166,28.886894302368166,0.5892879294648747
2021-11-17T16:45:49,FastText Ridge,1,29.030369262695313,29.030369262695313,0.5922147952406224
2021-11-17T16:45:49,FastText Ridge,2,30.143125610351564,30.52941338423735,0.6149148431324267
2021-11-17T16:45:49,FastText Ridge,3,29.827628529866537,30.18685370655532,0.6099268015185236
2021-11-17T17:17:45,"ARIMA(order=(2, 1, 3), seasonal_order=(1, 0, 1, 6))",3,1.3348734708810852,1.4769017114834735,0.027052069202346308
2021-11-17T17:21:11,"ARIMA(order=(2, 1, 3), seasonal_order=(1, 0, 1, 6))",2,1.1027144949767482,1.1547722103583125,0.022724285937138277
2021-11-17T17:21:46,"ARIMA(order=(2, 1, 3), seasonal_order=(1, 0, 1, 6))",1,0.6299079457805874,0.6299079457805874,0.012850019293769633
2021-11-17T19:36:42,glove SVR,0,39.95528823847801,39.95528823847801,0.8150813594140761
2021-11-17T19:36:42,glove SVR,1,40.03468511498508,40.03468511498508,0.8167010427373537
2021-11-17T19:36:42,glove SVR,2,40.21336681011095,40.24107516317296,0.8203461201573022
2021-11-17T19:36:42,glove SVR,3,41.012323112963145,41.058284105181166,0.840675806085249
2021-11-17T19:36:42,glove Ridge,0,31.045807342529297,31.045807342529297,0.6333294031523724
2021-11-17T19:36:42,glove Ridge,1,31.13662002563477,31.13662002563477,0.6351819670672125
2021-11-17T19:36:42,glove Ridge,2,31.65776145935059,31.69426770639145,0.6458131672654137
2021-11-17T19:36:42,glove Ridge,3,32.393609059651695,32.462887210555614,0.6640139468289566
2021-11-17T19:36:42,glove SGDRegressor,0,31.256401716781788,31.256401716781788,0.6376254940183963
2021-11-17T19:36:42,glove SGDRegressor,1,31.409693418361705,31.409693418361705,0.640752619713621
2021-11-17T19:36:42,glove SGDRegressor,2,31.81726588999516,31.86285584720813,0.6490670316196481
2021-11-17T19:36:42,glove SGDRegressor,3,32.0091592858007,32.084384232574976,0.6561754467607234
2021-11-17T19:55:12,glove 200d SVR,0,40.29671029410202,40.29671029410202,0.8220463136291721
2021-11-17T19:55:12,glove 200d SVR,1,40.521197150654565,40.521197150654565,0.8266258088668822
2021-11-17T19:55:12,glove 200d SVR,2,39.87526760786728,39.90886767448467,0.8134489516088795
2021-11-17T19:55:12,glove 200d SVR,3,40.23449939634608,40.2988863310685,0.8246880785775756
2021-11-17T19:55:12,glove 200d Ridge,0,30.6648014831543,30.6648014831543,0.6255569458007811
2021-11-17T19:55:12,glove 200d Ridge,1,30.852676849365235,30.852676849365235,0.6293895726104697
2021-11-17T19:55:12,glove 200d Ridge,2,31.14402397155762,31.171907226705706,0.6353330063557243
2021-11-17T19:55:12,glove 200d Ridge,3,31.374690450032553,31.481918630125836,0.6430485788688285
2021-11-17T19:55:12,glove 200d SGDRegressor,0,30.631749347978268,30.631749347978268,0.6248826876372556
2021-11-17T19:55:12,glove 200d SGDRegressor,1,31.396222979922992,31.396222979922992,0.6404778249678291
2021-11-17T19:55:12,glove 200d SGDRegressor,2,31.1577848342284,31.19273583490667,0.6356137257084536
2021-11-17T19:55:12,glove 200d SGDRegressor,3,31.7363091314106,31.86313961183759,0.6504034406282371
2021-11-17T19:56:18,glove 300d SVR,0,39.901693810134155,39.901693810134155,0.8139880418224023
2021-11-17T19:56:18,glove 300d SVR,1,40.11575598781525,40.11575598781525,0.8183548753124285
2021-11-17T19:56:18,glove 300d SVR,2,40.35902626493205,40.417305746620485,0.8233175492642196
2021-11-17T19:56:18,glove 300d SVR,3,40.21912572846337,40.32168172593457,0.8243238885492694
2021-11-17T19:56:18,glove 300d Ridge,0,30.904829101562502,30.904829101562502,0.6304534700441146
2021-11-17T19:56:18,glove 300d Ridge,1,31.160891418457034,31.160891418457034,0.6356770995197272
2021-11-17T19:56:18,glove 300d Ridge,2,31.71657264709473,31.801249199650414,0.6470129058974851
2021-11-17T19:56:18,glove 300d Ridge,3,31.725508829752606,31.87908108519116,0.6501401734450692
2021-11-17T19:56:18,glove 300d SGDRegressor,0,30.787154455073,30.787154455073,0.6280529264600774
2021-11-17T19:56:18,glove 300d SGDRegressor,1,31.975458200719782,31.975458200719782,0.6522941289416521
2021-11-17T19:56:18,glove 300d SGDRegressor,2,31.822484321595272,31.90195908297386,0.6491734867726493
2021-11-17T19:56:18,glove 300d SGDRegressor,3,31.181343436744804,31.317949903244305,0.6389928494050825
